Product Name,Product Price,Product Ratings,Product Reviews,BRAND
"PTron Studio Evo w/ Dual Pairing, 70H Playtime, Pristin...", Rs. 799 ,"2,340",4,PTron
"SONY WH-CH720N Active Noise Cancelling, 50 Hrs. Battery..."," Rs. 8,745 ","2,961",4.4,SONY
Sonos Wireless Over-Ear Headphones with Noise Cancellat...," Rs. 39,999 ",6,4.7,Sonos
Sennheiser Momentum 4 Wireless Over Ear Headphones Desi...," Rs. 25,990 ",172,4.3,Sennheiser
"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...", Rs. 799 ,"20,710",4,TRIGGR
Beats Studio pro kim k Bluetooth," Rs. 37,900 ","8,890",3.5,Beats
"GOBOULT (previously Boult) Soniq 70H Battery, Dual Pair..."," Rs. 1,999 ","1,819",4.2,GOBOULT
"TRIGGR Trinity 2 with Dual Pairing, ENC, Fast Charge, 5...", Rs. 799 ,"4,064",4,TRIGGR
Portronics Wireless Bluetooth & Wired, Rs. 849 ,"3,120",4,Portronics
"F FERONS Wireless Lightweight, Soft Pads Built-In Mic F...", Rs. 299 ,"12,603",3.9,F
"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)..."," Rs. 1,599 ","2,644",4.1,boAt
"TRIGGR Trinity 2 with Dual Pairing, ENC, Fast Charge, 5...", Rs. 799 ,"4,064",4,TRIGGR
"ZEBRONICS Thunder Max (ZEB-WHP 7), 120H Playtime, 3 EQ ..."," Rs. 1,299 ","1,652",3.9,ZEBRONICS
F FERONS Wireless Premium Deep Bass Sports Headphone Fo..., Rs. 299 ,"12,603",3.9,F
BUFONA High Bass Wireless Earphone BT Sports Headphones..., Rs. 276 ,93,3.4,BUFONA
F FERONS Compact Foldable Headphone Crystal Crisp Clear..., Rs. 295 ,"12,603",3.9,F
"ZEBRONICS Thunder Pro, With 60h Backup, BT v5.3, Gaming...", Rs. 999 ,"20,087",3.9,ZEBRONICS
ae trusted AE-HF 001 Wired, Rs. 155 ,24,3.5,ae
"PunnkFunnk K20 Headset, Over Ear Headphones with Mic Wi...", Rs. 978 ,"2,122",3.7,PunnkFunnk
SONY ZX110A Wired without Mic, Rs. 599 ,"1,84,467",4.1,SONY
"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)..."," Rs. 1,599 ","2,644",4.1,boAt
TABARET Buy Branded Bluetooth Wireless in Ear Earphones..., Rs. 392 ,6,4,TABARET
"truke Aura Bass headphone w/ 40mm Drivers, 50Hrs playti..."," Rs. 1,299 ","1,103",3.7,truke
Portronics Muffs M3 Over Ear Headphones with ANC Enable...," Rs. 1,429 ",59,3.8,Portronics
RENTOOR Over the Ear Thumping sound Wireless Sport Runn..., Rs. 393 ,14,3.9,RENTOOR
"ZEBRONICS Thunder Max (ZEB-WHP 7), 120H Playtime, 3 EQ ..."," Rs. 1,299 ","1,652",3.9,ZEBRONICS
ZEBRONICS ZEB-STORM Wired, Rs. 698 ,62,4,ZEBRONICS
YAROH SH12 Premium (Bluetooth Bluetooth, Rs. 529 ,30,3.5,YAROH
Hammer Bash Max wireless over the ear|Deep Bass|18hr Pl...," Rs. 2,199 ",18,4.6,Hammer
"TRIGGR Trinity 2 with Dual Pairing, ENC, Fast Charge, 5...", Rs. 799 ,"4,064",4,TRIGGR
